text,date,score,Month
"A few stats:  - In 2023, our owners avoided approximately 20 million tons of CO2e through use of our products  - The more products we sell, the faster we achieve our mission—hence affordability is key. A Model 3 RWD lease in US now starts at $160/month after probable gas savings  - With FSD Supervised enabled, the chance of an accident is around 5x lower compared to the US average in 2023  - Our Supercharger network was 100% renewable in 2023 (achieved through combination of onsite resources & annual renewable matching)  - To further EV adoption, we’re opening our network to other EVs across the world   - We deployed a total of 14.7GWh of energy storage last year (125% increase compared to 2022)",2024-04,0,4
Tesla is the lowest cost car to maintain,2024-04,0,4
Cool,2024-04,0,4
"Our concern is that if ANY country is allowed to censor content for ALL countries, which is what the Australian “eSafety Commissar” is demanding, then what is to stop any country from controlling the entire Internet?  We have already censored the content in question for Australia, pending legal appeal, and it is stored only on servers in the USA.",2024-04,1,4
"Sign up for the 'Advertising on X 101' webinar  Learn how to set up an ad campaign and grow your business with X Ads, directly from an X Ads Specialist.  Wednesday, April 24th at 1:15PM ET  What it will cover: - The power of X’s audience for businesses - How to set up and optimize your profile and organic content strategy - A step-by-step walkthrough of our campaign setup process - And finally, how to measure the success of your campaigns along with best practices  Register Here: business.x.com/en/campaign/w…",2024-04,0,4
"With 3,000 newly planted flowers and plants and a widely visible mural, the Giga Berlin team is making a statement for today's Earth Day.",2024-04,0,4
"Don’t take my word for it, just ask the Australian PM!",2024-04,0,4
"Tesla exists to accelerate the world’s transition to sustainable energy.  Thank you to our owners, employees & advocates for supporting us in our mission!  Happy Earth Day 🌎",2024-04,0,4
I’d like to take a moment to thank the PM for informing the public that this platform is the only truthful one,2024-04,0,4
,2024-04,0,4
"Celebrating 10 years since the first-ever delivery of Tesla Model S in China—thanks to our 1.7 million Chinese owners, our partners, supporters and industry advocates. Together, let's accelerate the world's transition to sustainable energy! ❤️  特斯拉中国首批车主交付十周年  感谢170万中国车主，感谢所有支持和帮助过我们的人，感谢所有关心新能源汽车行业发展的人，感谢加速世界向可持续能源的转变的同路人！❤️",2024-04,1,4
Time to make crime illegal again,2024-04,0,4
Grok v1.5 can explain memes 🔥,2024-04,0,4
Subscribing to your favorite accounts on 𝕏 is the best way to show your love and support.  Please consider subscribing to as many creators as you find interesting on this platform.,2024-04,0,4
Robbery in most of America is out of control,2024-04,0,4
Wow,2024-04,0,4
And this is after Sheetz had to struggle for years with a challenging brand name!,2024-04,0,4
Subscribe to 𝕏 premium and support free speech.,2024-04,0,4
"Because he is against the will of the people and, therefore, democracy",2024-04,0,4
"Remember California’s #AB5?   It was meant to help freelancers.   Instead, it killed their jobs.   I thought politicians would learn from their terrible policy. But no!  Now Biden is forcing the rest of America to be more like California:",2024-04,0,4
"“Without censorship, Hitler never would have achieved his terrible power, nor would he be able to hold it.”  “A censor tells the newspapers what to publish, so that in this ignorance the citizen will support the government in power.""  September 30, 1938 | The Daily Times",2024-04,0,4
"""To be clear, 𝕏 is only trying to follow the laws of Brazil without favor or disfavor to any political candidate."" 🇧🇷  一 Elon Musk",2024-04,0,4
,2024-04,0,4
Forward links to make sure your friends know what’s really happening,2024-04,0,4
𝕏 Developer Challenge Progress—  Loading potential future features powered by our X platform and developers!,2024-04,0,4
A return to reasonableness and due process under Brazilian law is the right thing to do,2024-04,0,4
Trust the experts.,2024-04,0,4
Accurate,2024-04,0,4
𝕏 is defending free speech. Consider subscribing to 𝕏 premium.  𝕏 is indispensable,2024-04,0,4
,2024-04,0,4
Shellenberger eloquently describes the severity of the situation in Brazil and the appropriate remedy,2024-04,0,4
The software must have exactly 420 lines of code on this auspicious day,2024-04,0,4
Absolutely disastrous,2024-04,0,4
4/20  First Starship Launch Anniversary Today,2024-04,0,4
Exactly,2024-04,0,4
Legacy media is ideologically aligned with NPR,2024-04,0,4
This is crazy,2024-04,0,4
Yeah,2024-04,0,4
Improvements to Notes,2024-04,0,4
"180MW / 315MWh of Tesla Megapacks at Enfinite’s 9 sites in Alberta provided historic levels of output this winter. At a time where generation was constrained due to extreme cold conditions and high energy demand, Megapacks provided a critical line of defense, preventing rolling blackouts in the surrounding area",2024-04,1,4
"Great men are called upon by history when they see dangerous times ahead; this is one of those times.  And despite our immense challenges, I am feeling optimistic, as I see friends heed the call.  We have nowhere to run; the United States of America is where we make our stand.",2024-04,0,4
Your subscription is much appreciated.   The days ahead for defending freedom of speech will be tough.,2024-04,2,4
And the gas savings are very real. That’s why so many Uber drivers use Tesla!,2024-04,0,4
,2024-04,0,4
Turns out that free speech is actually very expensive,2024-04,0,4
Our current referral program benefits will end after April 30 in all markets,2024-04,0,4
"Almost everywhere on Earth had slavery for thousands of years and some places still do.   The drive to end slavery on a worldwide basis was spearheaded by Britain in the early 1800’s.   https://en.m.wikipedia.org/wiki/West_Africa_Squadron#:~:text=Britain%20pressed%20other%20nations%20into,East%2C%20and%20the%20Indian%20Ocean.",2024-04,0,4
"Wow, Bill Maher hits the bullseye 🎯",2024-04,0,4
Same,2024-04,0,4
𝕏 is the #1 news app on the App Store in over 160 countries. 🥇,2024-04,0,4
"Scotland becomes latest country to join Team Reality, halts puberty blockers for children https://notthebee.com/t8e00 https://notthebee.com/t8e00",2024-04,0,4
Insane,2024-04,0,4
The Australian censorship commissar is demanding *global* content bans!,2024-04,0,4
Another major attack on the First Amendment by this administration,2024-04,0,4
Mad insurance regulation & extremely high litigation costs are the root causes,2024-04,0,4
"In my opinion, TikTok should not be banned in the USA, even though such a ban may benefit the 𝕏 platform.   Doing so would be contrary to freedom of speech and expression. It is not what America stands for.",2024-04,2,4
The opposition to free speech (under the guise of “hate speech”) in America by hard left activists is much greater than most people realize,2024-04,1,4
".@elonmusk: ""History is written by the victors. Well, yes, but not if your enemies are still alive and have a lot of time on their hands to edit Wikipedia.""  😂😂",2024-04,0,4
Any accounts doing engagement farming will be suspended and traced to source,2024-04,0,4
"We should send rockets not at each other, but rather to the stars",2024-04,0,4
Improved ad performance,2024-04,0,4
,2024-04,0,4
Falcon 9 launches 23 @Starlink satellites to low-Earth orbit from Florida,2024-04,0,4
"🚨🇧🇷 BRAZILIAN X NEWS OUTLET LATEST CENSORSHIP VICTIM?!  Brazilian Federal Police have reportedly summoned Brazilian news outlet Space Liberdade for a ""crime of opinion"" under the Data Protection Law.  This development, which aligns with recent Twitter Files leaks, paints a troubling picture of systematic attempts to suppress perceived dissent within the country.  ""FEDERAL POLICE - DELEGACY OF HUMAN RIGHTS AND INSTITUTIONAL DEFENSE  NOTICE WARRANT   In compliance with the determination of RENATO PEREIRA DE OLIVEIRA, Delegate of Federal Police, in using the attribution conferred on it by art. 6th of the Process Code.  Criminal, I issue the NOTICE of: to appear at DELINST (Institutional Defense Office), Regional Superintendence of the Federal Police ([REDACTED] - São Paulo/SP), on the date and time listed below, to provide clarifications in the interest of the [REDACTED], and must present an identification document with photo.""  Source: @NewsLiberdade, Court Documents",2024-04,2,4
Ignition of the nine first stage Merlin engines and liftoff of Falcon 9!,2024-04,0,4
It’s a real problem!,2024-04,0,4
Crime is out of control,2024-04,0,4
"Ironically, GDI pushes disinformation and should be shut down, with recriminations for the miscreants",2024-04,0,4
De Moraes absolutely interfered with the Brazil elections,2024-04,0,4
https://nitter.net/i/broadcasts/1BRKjPramzdJw,2024-04,0,4
Improved advertising,2024-04,0,4
𝕏 users are reporting that their pinned posts are getting greater reach compared to others.  This is because the 𝕏 algorithm gives them a slight boost and shows them to all your followers.  I strongly recommend pinning your best content to your profile.,2024-04,0,4
Wow,2024-04,0,4
"The Olympics brings out the best of X, with 89% of conversation globally being positive/neutral.   Your brand should be part of the conversation. Get started: ads.x.com",2024-04,0,4
"If maximizing free speech within the bounds of the law, a traditionally liberal value, is somehow “far right”, then I guess I am 🤣🤣",2024-04,0,4
Every time I hear about GPU FLOPS,2024-04,0,4
"Given the relentless attacks on free speech, I am going to fund a national signature campaign in support of the First Amendment",2024-04,0,4
Highly recommend this book!,2024-04,0,4
"Wow, this is insane",2024-04,0,4
Starlink streams live during a tornado!,2024-04,0,4
"Concerning that less than 1/3 of F-35s, the most advanced US fighter are fully mission capable",2024-04,0,4
This will increasingly be the case,2024-04,0,4
"Imagine a massive celestial bubble made of ice and dust surrounding our Solar System. That’s the Oort cloud and this is its scale.  The Oort Cloud lies at the very edges of the Solar system.  Even the farthest ones which are still working, like Voyager 1, Voyager 2 and New Horizons didn't go beyond the cloud.   Long-period comets, taking centuries to orbit the Sun, provide evidence for the existence of the Oort Cloud. Scientists believe this vast region is the birthplace of these cosmic travelers.⁠",2024-04,1,4
"Advertising on X 101 Learn how to set up an ad campaign and grow your business with X Ads, directly from an X Ads Specialist.  Wednesday, April 24th at 10:15 AM PT / 1:15PM ET  What it will cover: - The power of X’s audience for businesses - How to set up and optimize your profile and organic content strategy - A step-by-step walkthrough of our campaign setup process - And finally, how to measure the success of your campaigns along with best practices  Register Now: https://business.x.com/en/campaign/webinars/amer/advertising-on-x-101.html",2024-04,0,4
"NEWS: X will host an ‘Advertising on X 101’ Wednesday, April 24th at 10:15 AM PT / 1:15PM ET   Sign up: https://business.x.com/en/campaign/webinars/amer/advertising-on-x-101.html",2024-04,0,4
"It’s not even summer, but this year’s Summer Olympics are already lighting up the conversation on X! 🔥 There have been over 6.9 BILLION impressions on posts about the Olympics so far this year. 🧵",2024-04,0,4
"🚨🇧🇷 THE BRAZIL X FILES: EVEN MEMES WERE CONSIDERED ILLEGAL CONTENT  Brazil's Supreme Court issued a confidential order to suspend social media profiles of influencers accused of spreading election misinformation.   It appears they targeted profiles that, even through memes, ""threaten electoral integrity.""  Source: Interim Staff Report of the Committee on the Judiciary and the Select Subcommittee on the Weaponization of the Federal Government",2024-04,0,4
Now you know part of why it turned into,2024-04,0,4
Wow,2024-04,0,4
That’s literally the point of Wikipedia,2024-04,0,4
,2024-04,0,4
The law broke the law,2024-04,0,4
Leftism destroys everything it touches.,2024-04,0,4
This is incredibly messed up,2024-04,0,4
The censorship actions against elected representatives demanded by @alexandre violate Brazilian law,2024-04,0,4
Surely this is illegal?,2024-04,0,4
"Falcon 9 launches from Florida, carrying 23 @Starlink satellites to low-Earth orbit",2024-04,0,4
𝕏 is the best place to advertise your brand or business.,2024-04,0,4
Super-powerful AI programmed in this way has severe civilization-level risk,2024-04,0,4
Poder ao povo!,2024-04,0,4
Bring back Vine?,2024-04,0,4
This keeps getting crazier! The head of NPR hates the Constitution of the USA.,2024-04,0,4
"Now imagine if this is programmed, explicitly or implicitly, into super powerful AI – it could end civilization.   Now, no need to imagine. It is already programmed into Google Gemini and OpenAI ChatGPT.",2024-04,0,4
The software running in her head is the anti-Grok – hates truth & humor 😂,2024-04,0,4
"Legacy media simply can’t compete with hundreds of millions of humans providing real-time, AI-assisted, interactive information",2024-04,0,4
"Whoa, I just realized that raising a kid is basically 18 years of prompt engineering 🤯",2024-04,0,4
"More than the population of 36 states in just over 3 years!  I am very much in favor of legal immigration, being an immigrant myself, but allowing a flood of millions of unvetted people to enter the United States illegally is insane.",2024-04,1,4
When will this madness stop?,2024-04,1,4
NPR has become a hard left propaganda machine that tolerates no dissent,2024-04,0,4
FSD Supervised continues to improve with every over-the-air software update  Latest version 12.3.4 rolling out now,2024-04,0,4
Interesting series about a potentially good future,2024-04,0,4
"United States laws prevent 𝕏 from participating in corruption that violates the laws of other countries, which is what @Alexandre is demanding that we do",2024-04,0,4
Interesting,2024-04,0,4
"If you’re experiencing severe neck/back pain, I recommend looking into a disc replacement.   If you do, err on the side of a disc with limited movement. A simple hinge is more likely to be effective than a high mobility artificial disc that can translate, as well as rotate.",2024-04,0,4
,2024-04,0,4
bon appétit 😋 🍽️,2024-04,0,4
Worth noting that the actual brand safety score is almost perfect,2024-04,0,4
Thanks to the 𝕏 team for discovering this and @DoubleVerify for responding quickly to correct the error,2024-04,0,4
Greece is one of dozens of countries experiencing population collapse due to low birth rates,2024-04,0,4
Create or join 𝕏 Communities!,2024-04,0,4
,2024-04,0,4
🤔,2024-04,0,4
The refreshing breeze of the Overton window opening,2024-04,0,4
,2024-04,0,4
Always wondered what that chair was for,2024-04,0,4
We can't stop AI anymore. Our only path forward is to guide it.,2024-04,1,4
😂,2024-04,0,4
Join @xAI!,2024-04,0,4
Good deal,2024-04,0,4
Falcon 9 lands on the A Shortfall of Gravitas droneship – completing the first 20th launch and landing of a booster!,2024-04,0,4
"Since its first mission in November 2020, this single first stage has launched eight astronauts and more than 500 satellites, totaling 261+ metric tons to orbit in under four years",2024-04,0,4
20th time the same booster has landed,2024-04,0,4
Grok-1.5 Vision,2024-04,0,4
,2024-04,0,4
"We identified an issue that caused Spaces hosts to get kicked out of the Space they were hosting on iOS. Unable to rejoin, the Space then ended.  We pushed a fix this morning addressing this issue, and it's now available to all iOS users.   Make sure to update your app to 10.36.2 in the App Store, especially if you plan to host or co-host a Space.",2024-04,0,4
"Thank you DoubleVerify for correcting your mistake regarding brand safety on this platform.   When measured accurately, brand safety on 𝕏 is extremely good.",2024-04,0,4
"Boost your business with ad credit, 2x reach, affiliate badges, and hiring on X Verified Organizations.  https://x.com/i/verified-orgs-signup",2024-03,0,3
"Over 100 million people watch vertical video on X every day. Reach a new audience with Vertical Video Ads, a full-screen, sound-on advertising experience that delivers a 7x higher engagement rate than Home Timeline. Learn more: https://business.x.com/en/products/vertical-video-ads.html",2024-04,0,4
Supervised full self-driving now $99/month,2024-04,0,4
Wow,2024-04,0,4
To an exciting & inspiring future!,2024-04,0,4
Libertad!,2024-04,0,4
And the appeal process is a sham,2024-04,0,4
Tune in to our podcast with @elonmusk! It for sure has created some buzz! https://piped.video/_rQBZ3vKRA0?si=20QQQpSFsuoBtFIN via @YouTube,2024-04,0,4
Facts …,2024-04,0,4
Our advertising relevance has greatly improved,2024-04,0,4
"I strongly recommend all the brands to advertise on 𝕏  • On average, brands see +59% sales contributions (MMM) on 𝕏, compared to only +16% on total social media.  • Users are engaging with the brands more than ever – +63% more likes, +20% reposts, +14% views, and +6% more impressions on average.  𝕏 is a brand-friendly place.",2024-04,0,4
Advertise on 𝕏,2024-04,0,4
One of the few companies I don't mind getting invoices from.  Advertise on X. Subscribe to X premium. Support defenders of freedom.,2024-04,2,4
"New Model S Plaid Sport Seats  If you know what high-G cornering means, these seats are for you  - Increased lateral support - Modular seat architecture for comfort & support, plus same 12-way power adjust, heating & ventilation - High performance suede for increased grip & reduced weight  → https://www.tesla.com/models/design",2024-04,0,4
Let’s see what the public thinks,2024-04,0,4
"The Model S & X Plaid (meaning, beyond ludicrous speed) are sublime",2024-04,1,4
Community Notes will now show faster,2024-04,0,4
Glad Tesla FSD was there to help and that you’re feeling well!,2024-04,0,4
Congrats SpaceX Team & @SpaceForceDoD on completing 3 orbital Vandenberg launches in 11 days!  Might be a record.,2024-04,0,4
Tyranny,2024-04,0,4
😂,2024-04,0,4
"""My banking accounts were frozen, all my social media was under censorship and my passport has been cancelled. Just for a bunch of tweets. That's what we have been facing in Brazil."" 🇧🇷  via @MarioNawfal",2024-04,0,4
"The severity of the censorship and the degree to which Brazil’s own laws are being broken, to the detriment of their own people, is the worst of any country in the world in which this platform operates.",2024-04,0,4
Accurate,2024-04,0,4
,2024-04,0,4
True,2024-04,0,4
😱,2024-04,0,4
Your support is much appreciated. Makes a difference.,2024-04,1,4
Interesting,2024-04,0,4
"Shutdown of a Raptor vacuum engine in slow motion. The engine’s nozzle is sized for use by Starship in the Earth’s upper atmosphere and outer space, so operation at sea level and low chamber pressures results in flow separation creating visible rings in the exhaust",2024-04,0,4
Sounds balanced … 😂,2024-04,0,4
Exactly,2024-04,0,4
We were asked to suspend sitting members of the Brazilian parliament and many journalists,2024-04,0,4
Exactly. Dictator @Alexandre.,2024-04,0,4
"𝕏 just received an inquiry from the US House of Representatives regarding actions taken in Brazil that were in violation of Brazilian law.  There were hundreds, if not thousands.  This is getting spicy 🌶️",2024-04,0,4
True,2024-04,0,4
𝕏 algorithm update coming soon with more bangers and less clickbait!,2024-04,0,4
Exactly,2024-04,0,4
Looking forward to meeting with Prime Minister @NarendraModi in India!,2024-04,0,4
"𝕏 respects the laws of Brazil and all countries in which we operate.  When given an order to break the law, we must refuse.",2024-04,0,4
BREAKING: 𝕏 recorded a 43.4 million increase in unique visitors in March as compared to the previous month with a total of 1.6 billion unique visitors.,2024-04,0,4
"With Starlink, it feels like you’re on the ground, rather than in the air!",2024-04,0,4
Falcon 9 launches 23 @Starlink satellites to low-Earth orbit from Florida,2024-04,0,4
Engines full power and liftoff!,2024-04,0,4
You are most welcome 🙏,2024-04,0,4
Brave man,2024-04,0,4
Reliable high-speed internet for space stations in orbit!,2024-04,0,4
Precisely,2024-04,0,4
Quicksilver⚡️  📷公路映画,2024-04,0,4
Accurate,2024-04,0,4
"O governo brasileiro quer censurar as teorias da conspiração e ainda assim aqui está, espalhando teorias da conspiração: "" O governo brasileiro suspeita que os ataques de Elon Musk ao ministro Alexandre de Moraes e agora também diretamente ao presidente Lula estão sendo feitos em cooperativa com deputados bolsonaristas..."" relata a CNN.  A CNN publicou este segmento embora admitisse que “Ainda não temos provas sobre isso, está sendo investigado”.  Boa sorte em encontrar evidências porque não há nenhuma!  Fui convidado há muitos meses para palestrar no Fórum pela Liberdade no Rio Grande do Sul. Antes de chegar, meus colegas jornalistas brasileiros, David Agape e Eli Viera, me pediram para ver se havia algum arquivo do Twitter no Brasil.  Olhei e descobri que havia. O que descobrimos nos chocou: Alexandre de Moraes e outros funcionários do governo ameaçaram processar criminalmente o advogado do Twitter no Brasil se ele não entregasse informações *privadas* e *pessoais*, incluindo números de telefone das pessoas e suas mensagens diretas pessoais!  Publiquei os Arquivos do Twitter logo após desembarcar em Porto Alegre.  *Ninguém* além de David, Eli e mais um colega meu sabia que eu iria publicar o Twitter Files Brasil.  Depois que ficou claro que muitos brasileiros estavam interessados em falar comigo sobre os Arquivos do Twitter, adiei em uma semana meu retorno aos EUA. Depois que decidi fazer isso, o Diputado Federal Marcel Van Hattem cancelou a sua viagem há muito planejada a Bruxelas.  Conheci Van Hattem em Londres no ano passado, numa conferência, e ele estava no Fórum pela Liberdade, em Porto Alegre. Aceitei com gratidão a oferta de Van Hattem de ser apresentado a diversas pessoas que ele conhecia no Brasil.  É isso. Essa é toda a “coordenação”. Se a CNN tivesse feito o seu trabalho, poderia ter aprendido tudo isto comigo antes de publicar a sua “desinformação”. Na verdade, a CNN me entrevistou há duas noites e contei aos dois repórteres como surgiu o Twitter Files – Brasil. Aparentemente, os repórteres da CNN não conversam entre si.  Aparentemente, a CNN também não fez o dever de casa com Elon Musk. Com Elon, o que você vê é o que você obtém. Ele respondeu publicamente ao Twitter Files Brasil. Não falamos sobre eles nem nos correspondemos sobre eles. Ele ouviu falar deles no mesmo momento em que o mundo ouviu falar deles.  Será realmente tão difícil acreditar que os políticos que foram censurados tenham respondido em X a mais provas das exigências de censura de Moraes? Que idiota.  Estou tentando ser gentil com isso, mas com o segmento abaixo, a CNN não está se comportando como uma mídia de notícias justa e equilibrada. Está se comportando como um teórico da conspiração irresponsável, carregando água para o governo Lula.  Pelo menos você não me verá exigindo que o governo censure a CNN.",2024-04,0,4
Much appreciated,2024-04,1,4
And fast,2024-04,0,4
"Read this.  NPR veteran describes the transformation of NPR from a news to an activist organization after Trump's election:  ""During most of my tenure [at NPR], an open-minded, curious culture prevailed. We were nerdy, but not knee-jerk, activist, or scolding.  In recent years, however, that has changed. Today, those who listen to NPR or read its coverage online find something different: the distilled worldview of a very small segment of the U.S. population...  Like many unfortunate things, the rise of advocacy took off with Donald Trump. As in many newsrooms, his election in 2016 was greeted at NPR with a mixture of disbelief, anger, and despair... But what began as tough, straightforward coverage of a belligerent, truth-impaired president veered toward efforts to damage or topple Trump’s presidency [italics mine].  Persistent rumors that the Trump campaign colluded with Russia over the election became the catnip that drove reporting. At NPR, we hitched our wagon to Trump’s most visible antagonist, Representative Adam Schiff...  The Schiff talking points became the drumbeat of NPR news reports.  But when the Mueller report found no credible evidence of collusion, NPR’s coverage was notably sparse. Russiagate quietly faded from our programming...  It’s bad to blow a big story.  What’s worse is to pretend it never happened, to move on with no mea culpas, no self-reflection...  [Hunter Biden's] laptop was newsworthy. But the timeless journalistic instinct of following a hot story lead was being squelched. During a meeting with colleagues, I listened as one of NPR’s best and most fair-minded journalists said it was good we weren’t following the laptop story because it could help Trump [italics mine]...  Over the course of the pandemic, a number of investigative journalists made compelling, if not conclusive, cases for the lab leak. But at NPR, we weren’t about to swivel or even tiptoe away from the insistence with which we backed the natural origin story...  [Our new director] declared that diversity—on our staff and in our audience—was the overriding mission... Race and identity became paramount in nearly every aspect of the workplace. Journalists were required to ask everyone we interviewed their race, gender, and ethnicity (among other questions), and had to enter it in a centralized tracking system [italics mine]. We were given unconscious bias training sessions. A growing DEI staff offered regular meetings imploring us to 'start talking about race.'  There’s an unspoken consensus about the stories we should pursue and how they should be framed. It’s frictionless—one story after another about instances of supposed racism, transphobia, signs of the climate apocalypse, Israel doing something bad, and the dire threat of Republican policies. It’s almost like an assembly line.  The mindset prevails in choices about language. In a document called NPR Transgender Coverage Guidance—disseminated by news management—we’re asked to avoid the term biological sex... The mindset animates bizarre stories—on how The Beatles and bird names are racially problematic, and others that are alarmingly divisive; justifying looting, with claims that fears about crime are racist; and suggesting that Asian Americans who oppose affirmative action have been manipulated by white conservatives.  More recently, we have approached the Israel-Hamas war and its spillover onto streets and campuses through the intersectional lens that has jumped from the faculty lounge to newsrooms. Oppressor versus oppressed...  I looked at voter registration for our newsroom. In D.C., where NPR is headquartered and many of us live, I found 87 registered Democrats working in editorial positions and zero Republicans. None.""  https://www.thefp.com/p/npr-editor-how-npr-lost-americas-trust",2024-04,2,4
What are the odds? 😂,2024-04,0,4
Tune in to our podcast with @elonmusk and hear his plans for moving mankind to Mars!  https://podcasts.apple.com/no/podcast/in-good-company-with-nicolai-tangen/id1614211565?i=1000651843541,2024-04,0,4
Starlink now available in Albania!,2024-04,0,4
,2024-04,0,4
"The previous Brazilian government recognized @elonmusk's exceptional contributions to Brazil, regarding him as a true and cherished friend of the nation.",2024-04,0,4
"During today’s solar eclipse, >10 Megapack sites operating in ERCOT helped fill the >1GW energy void, ensuring the grid remained stable during the 4+ minute disruption of solar irradiance to solar sites across Texas",2024-04,0,4
How did @Alexandre de Moraes become the dictator of Brazil? He has Lula on a leash 😂,2024-04,1,4
Great idea 😂,2024-04,0,4
"The law applies to all, including @Alexandre. He should be on trial for his crimes.",2024-04,0,4
View of the eclipse from orbit,2024-04,0,4
,2024-04,0,4
The AI compute growth chart says it all,2024-04,0,4
"“Continuávamos recebendo essas exigências do juiz Alexandre para suspender as contas dos parlamentares e dos principais jornalistas. Não podíamos dizer a eles que isso era a mando do Alexandre, tínhamos que fingir que era devido às nossas regras” 🇧🇷  一 Elon Musk",2024-04,0,4
Was cool to see the eclipse from Austin. ~27 years before it happens here again.,2024-04,0,4
,2024-04,0,4
"𝕏 supports the people of Brazil, without regard to political affiliation.   Does Judge @Alexandre?",2024-04,0,4
,2024-04,0,4
"[Scene: @Alexandre & @ElonMusk in psychoanalysis]  I say, “Tell me, Alexandre, is the disinformation in the room with us now?”",2024-04,0,4
This is the heart of the problem. What say you @Alexandre?  Let us debate this in the open.,2024-04,1,4
Yes,2024-04,0,4
https://nitter.net/i/spaces/1YqJDgRydwaGV,2024-04,0,4
Accurate,2024-04,0,4
"""I am sticking to my principles!  As for any fake advocacy groups who seek to suppress free speech, they should remember that karma is real.""  — Elon Musk",2024-04,0,4
They want to stack the deck,2024-04,0,4
Falcon 9’s first stage has landed on Landing Zone 1 – completing the 14th launch and landing for this first stage booster,2024-04,0,4
Using a VPN is very easy,2024-04,0,4
T-1 hour until Falcon 9’s launch of the Bandwagon-1 mission from Launch Complex 39A in Florida,2024-04,0,4
"To ensure that you can still access the 𝕏 platform, download a virtual private network (VPN) app",2024-04,0,4
These are the most draconian demands of any country on Earth!,2024-04,0,4
Well said,2024-04,0,4
More Starlink DTC satellites rolling out,2024-04,0,4
"This is crazy, as it makes fraud impossible to detect",2024-04,0,4
Grok 一 $8 per month (𝕏 Premium 🇺🇸)  ChatGPT-4 一 $20 per month  Grok is real-time while ChatGPT-4 is outdated.,2024-04,0,4
"Coming shortly, 𝕏 will publish everything demanded by @Alexandre and how those requests violate Brazilian law.   This judge has brazenly and repeatedly betrayed the constitution and people of Brazil. He should resign or be impeached.  Shame @Alexandre, shame.",2024-04,1,4
SCOOP: I’m interviewing @elonmusk on Monday! You don’t want to miss this one 🚀 https://nitter.net/i/spaces/1YqJDgRydwaGV,2024-04,1,4
"Discussion with head of Norway’s sovereign fund, @NicolaiTang1 https://nitter.net/i/spaces/1YqJDgRydwaGV",2024-04,0,4
This is all accurate.,2024-04,0,4
Falcon 9 launches 21 @Starlink satellites – including six with Direct to Cell capabilities – to orbit from California following the first successful demo of Direct to Cell texting in early 2024,2024-04,0,4
Edited version,2024-04,0,4
For the people of Earth,2024-04,0,4
This aggressive censorship appears to violate the law & will of the people of Brazil,2024-04,0,4
Why are you doing this @alexandre?,2024-04,0,4
Soon,2024-04,0,4
Update on making life multiplanetary,2024-04,0,4
Best deal in town!,2024-04,0,4
I wrote this 8 years ago  https://www.tesla.com/blog/master-plan-part-deux,2024-04,0,4
Rise & fall of the first civilization  https://podcasts.apple.com/us/podcast/fall-of-civilizations-podcast/id1449884495?i=1000454904678,2024-04,0,4
275th landing of a Falcon 9 rocket complete as the first stage safely lands on the A Shortfall of Gravitas droneship,2024-04,0,4
This needs to stop,2024-04,1,4
Hell on Earth,2024-04,1,4
Getting ready for Flight 4,2024-04,0,4
"We should always judge people as individuals, even if a stereotype is statistically correct, but it is particularly absurd to have a statistically wrong stereotype!",2024-04,2,4
